iter	Passed	Remaining
0	144	144180
1	147	73763
2	151	50282
3	155	38617
4	158	31534
5	162	26893
6	165	23470
7	169	21049
8	173	19080
9	176	17473
10	179	16121
11	182	15009
12	185	14116
13	187	13230
14	189	12464
15	191	11795
16	193	11182
17	194	10636
18	196	10144
19	198	9726
20	199	9313
21	201	8940
22	202	8596
23	203	8282
24	204	7992
25	206	7719
26	207	7464
27	208	7228
28	209	7008
29	210	6796
30	211	6600
31	212	6417
32	213	6253
33	214	6090
34	215	5936
35	216	5790
36	217	5652
37	218	5520
38	218	5394
39	219	5275
40	220	5162
41	221	5053
42	222	4950
43	223	4852
44	224	4758
45	225	4668
46	226	4583
47	226	4501
48	228	4428
49	229	4352
50	229	4279
51	230	4208
52	231	4141
53	232	4075
54	233	4011
55	234	3950
56	235	3890
57	236	3833
58	236	3779
59	237	3726
60	238	3674
61	239	3626
62	240	3577
63	241	3531
64	242	3486
65	243	3445
66	244	3402
67	245	3361
68	246	3320
69	246	3281
70	247	3242
71	248	3205
72	249	3170
73	250	3135
74	251	3100
75	252	3067
76	253	3034
77	254	3003
78	254	2972
79	255	2942
80	256	2913
81	257	2887
82	258	2860
83	259	2833
84	260	2806
85	261	2780
86	262	2750
87	262	2725
88	263	2700
89	264	2677
90	265	2653
91	266	2630
92	267	2605
93	268	2583
94	268	2561
95	269	2540
96	270	2519
97	271	2499
98	272	2483
99	273	2464
100	274	2445
101	275	2426
102	276	2407
103	277	2389
104	278	2371
105	279	2353
106	279	2336
107	280	2319
108	281	2303
109	282	2287
110	283	2271
111	284	2255
112	285	2239
113	286	2224
114	287	2209
115	288	2196
116	289	2181
117	289	2165
118	290	2149
119	291	2136
120	292	2122
121	293	2109
122	293	2093
123	294	2080
124	295	2067
125	296	2054
126	297	2042
127	297	2029
128	298	2017
129	299	2006
130	300	1994
131	301	1982
132	302	1973
133	303	1960
134	304	1949
135	305	1938
136	306	1928
137	306	1917
138	307	1907
139	308	1894
140	309	1885
141	311	1879
142	312	1871
143	312	1859
144	313	1850
145	314	1840
146	315	1830
147	316	1821
148	317	1814
149	318	1805
150	319	1795
151	320	1786
152	321	1778
153	322	1769
154	322	1760
155	323	1751
156	324	1743
157	325	1735
158	326	1726
159	327	1718
160	327	1708
161	328	1700
162	329	1693
163	330	1685
164	331	1677
165	332	1669
166	333	1661
167	333	1653
168	334	1646
169	335	1639
170	336	1632
171	337	1625
172	338	1618
173	339	1611
174	340	1604
175	341	1597
176	342	1590
177	342	1583
178	343	1577
179	344	1570
180	345	1563
181	346	1557
182	347	1552
183	348	1545
184	349	1538
185	350	1532
186	351	1526
187	351	1520
188	352	1514
189	353	1507
190	354	1501
191	355	1495
192	356	1489
193	357	1484
194	358	1478
195	358	1472
196	359	1467
197	360	1461
198	361	1456
199	362	1450
200	363	1445
201	364	1439
202	365	1435
203	366	1429
204	367	1424
205	368	1419
206	369	1413
207	369	1408
208	370	1403
209	371	1398
210	372	1393
211	373	1388
212	374	1383
213	375	1378
214	376	1373
215	377	1370
216	378	1365
217	379	1360
218	380	1356
219	381	1351
220	382	1346
221	383	1342
222	383	1337
223	384	1332
224	385	1328
225	386	1323
226	387	1319
227	388	1314
228	389	1310
229	390	1305
230	390	1301
231	392	1297
232	392	1293
233	393	1289
234	394	1284
235	395	1280
236	396	1276
237	397	1271
238	398	1267
239	398	1263
240	399	1259
241	400	1255
242	401	1251
243	402	1246
244	403	1242
245	404	1238
246	405	1234
247	405	1231
248	407	1227
249	408	1224
250	408	1220
251	409	1216
252	410	1212
253	411	1208
254	412	1204
255	413	1201
256	414	1197
257	415	1193
258	415	1190
259	416	1186
260	417	1182
261	418	1179
262	419	1175
263	420	1171
264	421	1168
265	422	1166
266	423	1162
267	424	1159
268	425	1155
269	426	1152
270	427	1148
271	428	1145
272	428	1142
273	429	1138
274	430	1135
275	431	1132
276	432	1128
277	433	1125
278	434	1122
279	435	1118
280	436	1116
281	437	1114
282	438	1111
