iter	Passed	Remaining
0	1	1864
1	3	1677
2	4	1630
3	6	1634
4	8	1605
5	9	1567
6	12	1751
7	13	1734
8	15	1734
9	17	1689
10	18	1656
11	19	1627
12	21	1612
13	22	1604
14	24	1590
15	26	1660
16	28	1652
17	30	1649
18	31	1622
19	32	1607
20	34	1593
21	35	1582
22	37	1597
23	39	1591
24	40	1577
25	44	1653
26	45	1647
27	47	1637
28	48	1620
29	49	1606
30	51	1623
31	53	1618
32	54	1606
33	58	1665
34	60	1671
35	61	1659
36	63	1646
37	64	1640
38	66	1638
39	67	1626
40	69	1617
41	70	1612
42	72	1617
43	75	1641
44	77	1637
45	78	1625
46	79	1615
47	81	1616
48	84	1631
49	85	1628
50	87	1623
51	89	1625
52	90	1617
53	91	1607
54	93	1600
55	95	1609
56	99	1638
57	101	1641
58	103	1650
59	104	1640
60	105	1631
61	107	1624
62	108	1620
63	110	1622
64	114	1644
65	116	1644
66	117	1638
67	119	1631
68	120	1623
69	121	1615
70	123	1614
71	124	1608
72	126	1601
73	129	1616
74	131	1617
75	132	1614
76	134	1607
77	135	1603
78	137	1601
79	138	1594
80	140	1595
81	145	1625
82	146	1617
83	147	1612
84	149	1607
85	151	1606
86	152	1602
87	154	1596
88	155	1590
89	157	1589
90	159	1590
91	160	1588
92	162	1586
93	164	1582
94	165	1577
95	166	1572
96	168	1565
97	169	1561
98	170	1555
99	173	1558
100	174	1553
101	176	1549
102	177	1544
103	178	1539
104	179	1533
105	181	1528
106	182	1524
107	185	1530
108	186	1526
109	188	1523
110	189	1520
111	191	1516
112	192	1512
113	194	1508
114	195	1504
115	197	1501
116	198	1498
117	200	1502
118	202	1497
119	203	1493
120	204	1488
121	206	1483
122	207	1479
123	208	1476
124	210	1475
125	212	1470
126	213	1465
127	216	1473
128	217	1471
129	219	1469
130	220	1465
131	222	1461
132	223	1458
133	225	1455
134	226	1452
135	228	1449
136	230	1454
137	232	1453
138	234	1450
139	235	1445
140	236	1441
141	237	1435
142	239	1433
143	240	1429
144	241	1426
145	243	1422
146	246	1430
147	248	1429
148	249	1426
149	251	1424
150	253	1423
151	254	1420
152	255	1417
153	259	1423
154	260	1421
155	262	1418
156	263	1416
157	265	1415
158	266	1412
159	268	1409
160	269	1403
161	270	1399
162	271	1395
163	274	1399
164	276	1396
165	277	1394
166	279	1392
167	280	1389
168	282	1387
169	283	1384
170	285	1382
171	286	1380
172	289	1385
173	291	1383
174	292	1380
175	294	1377
176	295	1374
177	296	1371
178	298	1368
179	299	1365
180	302	1366
181	304	1369
182	306	1367
183	307	1365
184	309	1362
185	310	1359
186	311	1355
187	313	1353
188	315	1352
189	316	1349
190	318	1350
191	320	1349
192	322	1348
193	323	1345
194	324	1341
195	326	1339
196	328	1336
197	329	1333
198	330	1330
199	331	1327
200	335	1334
201	337	1333
202	339	1330
203	340	1328
204	341	1325
205	343	1322
206	344	1319
207	345	1315
208	353	1338
209	355	1338
210	357	1336
211	358	1333
212	360	1330
213	361	1327
214	364	1331
215	366	1330
216	367	1327
217	369	1324
218	370	1321
219	371	1318
220	373	1315
221	374	1313
222	376	1310
223	379	1315
224	381	1314
225	382	1311
226	384	1310
227	386	1307
228	387	1304
229	388	1301
230	390	1299
231	391	1296
232	394	1299
233	396	1298
234	398	1296
235	399	1293
236	400	1290
237	401	1286
238	403	1283
239	404	1280
240	405	1278
241	408	1279
242	409	1277
243	411	1275
244	412	1272
245	414	1269
246	415	1266
247	416	1264
248	418	1261
249	419	1258
250	420	1256
251	423	1258
252	425	1256
253	426	1253
254	428	1250
255	429	1248
256	430	1245
257	432	1243
258	434	1242
259	435	1240
260	438	1242
261	440	1240
262	442	1238
263	443	1236
264	445	1234
265	446	1232
266	447	1229
267	448	1226
268	450	1223
269	451	1221
270	453	1220
271	454	1217
272	456	1215
273	457	1212
274	458	1209
275	460	1207
276	461	1204
